iter	Passed	Remaining
0	0	92
1	2	98
2	3	98
3	3	93
4	4	93
5	6	94
6	7	96
7	8	96
8	9	95
9	10	94
10	11	93
11	12	92
12	13	91
13	14	89
14	15	86
15	16	85
16	17	83
17	18	82
18	18	80
19	19	78
20	20	76
21	21	75
22	22	74
23	22	72
24	23	71
25	24	69
26	25	68
27	26	67
28	26	65
29	27	64
30	28	62
31	29	61
32	29	60
33	30	59
34	31	58
35	31	56
36	32	55
37	33	54
38	33	53
39	34	51
40	35	50
41	35	49
42	36	47
43	36	46
44	37	45
45	38	44
46	39	44
47	39	42
48	40	41
49	40	40
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	28
64	52	28
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	60	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
